BWV,BC,Title,Key,Date,Genre,Scoring,Notes
Anh.167,—,Mass,G major,—,Masses,"For 4 voices, mixed chorus, orchestra",spurious; composed by Johann Ludwig Bach or Antonio Lotti
Anh.168,—,Kyrie,G minor,—,Kyrie,"For 4 voices, strings",spurious; composed by Wilhelm Friedemann Bach (F.100)
Anh.169,—,Erbauliche Gedanken auf den Gruenen Donnerstag und Charfreitag ueber den Leidenden Jesum,,1725?,Sacred cantatas,?,music lost; probably never composed
Anh.170,A138,"Welt ade, ich bin dein müde",,—,Chorales,For mixed chorus,spurious; composed by Johann Rosenmüller
Anh.171,—,Christ lag in Todesbanden,,—,Chorale preludes,For organ,spurious; composed by Johann Pachelbel
Anh.172,—,"Herr Jesu Christ, dich zu uns wend",,—,Chorale preludes,For organ,spurious; composed by Johann Ludwig Krebs
Anh.173–176,—,Inventions (4),,—,Inventions,"For violin, continuo","spurious; composed by Francesco Antonio Bonporti (Nos.2, 5, 6, 7 from Op.10)"
Anh.177,—,Prelude and Fugue,E♭ major,—,"Preludes
Fugues",For keyboard,spurious; composed by Johann Christoph Bach
Anh.178,—,Toccata quasi Fantasia con Fuge,A major,—,"Toccatas
Fantasias
Fugues",For organ,spurious; composer uncertain
Anh.179,—,Fantasia durch alle Tonarten gehend,,—,Fantasias,For keyboard,spurious; composed by Johann David Heinichen
Anh.180,—,Fugue,D minor,—,Fugues,For keyboard,spurious; composed by Johann Peter Kellner
Anh.181,—,Fugue,A minor,—,Fugues,For keyboard,spurious; composed by Johann Ludwig Krebs
Anh.182,—,Passacaglia,D minor,—,Passacaglias,For keyboard,spurious; composed by Christian Friedrich Witt
Anh.183,—,Rondo,B♭ major,—,Rondos,For keyboard,in Notebook II for Anna Magdalena Bach; spurious; composed by François Couperin
Anh.184,—,Violin Sonata,A minor,—,Sonatas,"For violin, continuo",spurious; composed by Carlo Zuccari (Op.1 No.10)
Anh.185,—,Sonata for 2 Violins,D major,—,Sonatas,"For 2 violins, continuo",spurious; composed by Carl Philipp Emanuel Bach (H.585)
Anh.186,—,Sonata for 2 Violins,F major,—,Sonatas,"For 2 violins, continuo","spurious; composed by Carl Philipp Emanuel Bach (Wq.154, H.576)"
Anh.187,—,Trio,F major,—,Sinfonias,"For flute, bassoon, violin","spurious; composed by Carl Philipp Emanuel Bach (Wq.159, H.587)"
Anh.188,—,Sonata (Concerto),F major,—,"Sonatas
Concertos",For 2 harpsichords,spurious; composed by Wilhelm Friedemann Bach (F.10)
Anh.189,—,Harpsichord Concerto,A minor,—,Concertos,"For harpsichord, strings, continuo","spurious; composed by Carl Philipp Emanuel Bach (Wq.1, H.403)"
Anh.190,—,Ich bin ein Pilgrim auf der Welt,,1729,Sacred cantatas,?,cantata for Easter Monday; fragment only
Anh.191,—,Leb ich oder leb ich icht,,1715?,Sacred cantatas,?,lost
Anh.192,B02,Cantata,,1709,Secular cantatas,?,cantata for the inauguration of Mühlhausen town council; lost
Anh.193,B09,"Herrscher des Himmels, König der Ehren",,1740,Secular cantatas,?,"cantata for the inauguration of Leipzig town council; last chorus based on BWV 208, otherwise lost"
Anh.194,—,Cantata,,1722,Secular cantatas,?,cantata for the birthday of Johann August of Anhalt-Zerbst; lost
Anh.195,—,"Murmelt nur, ihr heitern Bäche",,1723,Secular cantatas,?,cantata for Johann Florens Rivinus; lost
Anh.196,—,"Auf, süß entzückende Gewalt",,1725,Secular cantatas,?,wedding cantata; lost
Anh.197,—,Ihr wallenden Wolken,,?,Secular cantatas,?,cantata for New Year's Day; lost
Anh.198,—,Sinfonia,,?,Sacred cantatas,"For mixed chorus, orchestra",cantata for the Feast of St. Michael; fragment only
Anh.199,—,"Siehe, eine Jungfrau ist schwanger",,1724,Sacred cantatas,?,cantata for the Feast of the Annunciation; lost
Anh.200,K54,"O Traurigkeit, o Herzeleid",,1713–15,Chorale prelude,For organ,incomplete
Anh.201–204,—,Chorales (4):,,?,Chorales,For mixed chorus,Bach's authorship uncertain
Anh.201,—,"Du Friedefürst, Herr Jesu Christ",G minor,?,Chorales,For mixed chorus,Bach's authorship uncertain
Anh.202,—,Gott has das Evangelium,F major,?,Chorales,For mixed chorus,Bach's authorship uncertain
Anh.203,—,Och hebe meine Augen auf,A minor,?,Chorales,For mixed chorus,Bach's authorship uncertain
Anh.204,—,"O Traurigkeit, o Herzeleid",B minor,?,Chorales,For mixed chorus,Bach's authorship uncertain
Anh.205,—,see BWV 1121,,,,,
Anh.206,—,Ach bleib mit deiner Gnade,,?,Chorale preludes,For organ,Bach's authorship uncertain
Anh.207,—,Fugue,E minor,?,Fugues,For keyboard,Bach's authorship uncertain; possibly composed by Johann Peter Kellner
Anh.208,—,Fugue,E♭ minor,—,Fugues,For keyboard,Johann Ernst Eberlin
-,,Explication unterschiedlicher Zeichen,,,,,
