BWV,BC,Title,Key,Date,Genre,Scoring,Notes
096,A142,"Herr Christ, der einge Gottessohn",F major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
097,A189,In allen meinen Taten,B♭ major,1734,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
098,A153,"Was Gott tut, das ist Wohlgethan",B♭ major,1726,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
099,A133,"Was Gott tut, das ist wohlgetan",G major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
100,A191,"Was Gott tut, das ist wohlgetan",G major,1732–35,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
101,A118,"Nimm von uns, Herr, du treuer Gott",D minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
102,A119,"Herr, deine Augen sehen nach dem Glauben",G minor,1726,Sacred cantatas,"For 3 voices, mixed chorus, orchestra","partly re-used in BWV 233, BWV 235"
103,A069,Ihr werdet weinen und heulen,B minor,1725,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",
104,A065,"Du Hirte Israel, höre",G major,1724,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",
105,A114,"Herr, gehe nicht ins Gericht mit deinem Knecht",G minor,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
106,B18,Gottes Zeit ist die allerbeste Zeit (Actus Tragicus),E♭ major,1707–08?,Secular cantatas,"For 2 voices, mixed chorus, orchestra",
107,A109,Was willst du dich betrüben,B minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
108,A072,"Es ist euch gut, daß ich hingehe",A major,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
109,A151,"Ich glaube, lieber Herr",D minor,1723,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",
110,A010,Unser Mund sei voll Lachens,D major,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
111,A036,"Was mein Gott will, das g'scheh allzeit",A major,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
112,A067,Der Herr ist mein getreuer Hirt,G major,1731,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
113,A122,"Herr Jesu Christ, du höchstes Gut",B minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
114,A139,"Ach, lieben Christen, seid getrost",G minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
115,A156,"Mache dich, mein Geist, bereit",G major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
116,A164,"Du Friedefürst, Herr Jesu Christ",A major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
117,A187,Sei Lob und Ehr dem höchsten Gut,G major,1728–31?,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
118,B23,"O Jesu Christ, mein's Lebens Licht",B♭ major,"1736–37, rev. 1746–47?",Motets,"For mixed chorus, orchestra",
119,B03,"Preise, Jerusalem, den Herren",C major,1730,Secular cantatas,"For 4 voices, mixed chorus, orchestra",
120,B06,"Gott, man lobet dich in der Stille",A major,1728–29?,Secular cantatas,"For 4 voices, mixed chorus, orchestra","re-used in BWV 120a, 120b"
120a,B15,"Herr Gott, Beherrscher aller Dinge",D major,1729?,Secular cantatas,"For 4 voices, mixed chorus, orchestra",based on BWV 120; partly lost
120b,B28,"Gott, man lobet dich in der Stille",,1730,Secular cantatas,,lost
121,A013,Christum wir sollen loben schon,E minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
122,A019,Das neugeborne Kindelein,G minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
123,A028,"Liebster Immanuel, Herzog der Frommen",B minor,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
124,A030,Meinen Jesum lass ich nicht,E major,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
125,A168,Mit Fried und Freud ich fahr dahin,E minor,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
126,A046,"Erhalt uns, Herr, bei deinem Wort",A minor,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
127,A049,"Herr Jesu Christ, wahr' Mensch und Gott",F major,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
128,A076,Auf Christi Himmelfahrt allein,G major,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
129,A093,"Gelobet sei der Herr, mein Gott",D major,1726,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
130,A179,"Herr Gott, dich loben alle wir",C major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
131,B25,"Aus der Tiefe rufe ich, Herr, zu dir",G minor,1707–08,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
131a,J62,Fugue,G minor,—,Fugues,For organ,Bach's authorship uncertain; arranged from the finale of BWV 131
132,A006,"Bereitet die Wege, bereitet die Bahn",A major,1715,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
133,A016,Ich freue mich in dir,D major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
134,A059,"Ein Herz, das seinen Jesum lebend weiß",B♭ major,1724,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",based on BWV 134a
134a,G05,"Die Zeit, die Tag und Jahre macht",B♭ major,1718,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",revised as BWV 134
135,A100,"Ach Herr, mich armen Sünder",E minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
136,A111,"Erforsche mich, Gott, und erfahre mein Herz",A major,1723,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",partly re-used in BWV 234
137,A124,"Lobe den Herren, den mächtigen König der Ehren",C major,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",movt.II adapted in BWV 650
138,A132,"Warum betrübst du dich, mein Herz",B minor,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",partly re-used in BWV 236
139,A159,"Wohl dem, der sich auf seinen Gott",E major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
140,A166,"Wachet auf, ruft uns die Stimme",E♭ major,1731,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",movt.IV adapted in BWV 645
141,V03,Das ist je gewisslich wahr,G major,—,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",spurious; composed by Georg Philipp Telemann
142,V04,Uns ist ein Kind geboren,A minor,—,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",spurious; probably compoed by Johann Kuhnau
143,T01,"Lobe den Herrn, meine Seele",B♭ major,1708–14,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",Bach's authorship uncertain
144,A041,"Nimm, was dein ist, und gehe hin",B minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
145,A060,"Ich lebe, mein Herze, zu deinem Ergötzen",D major,1729,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
146,A070,Wir müssen durch viel Trübsal in das Reich Gottes eingehen,D minor,1726,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",partly based on a lost violin concerto (see BWV 1052R)
147,A174,Herz und Mund und Tat und Leben,C major,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",based on BWV 147a
147a,A007,Herz und Mund und Tat und Leben,,1716,Sacred cantatas,,"rext is not lost, but only the first four sheets of the musical score survives; revised as BWV 147"
148,A140,Bringet dem Herrn Ehre seines Namens,D major,1723,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",
149,A181,Man singet mit Freuden vom Sieg,D major,1729,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
150,B24,"Nach dir, Herr, verlanget mich",B minor,1706,Secular cantatas,"For 4 voices, mixed chorus, orchestra",
151,A017,"Süsser Trost, mein Jesus kömmt",G major,"1726, rev. 1727?",Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
152,A018,Tritt auf die Glaubensbahn,,1714,Sacred cantatas,"For 2 voices, orchestra",
153,A025,"Schau, lieber Gott, wie meine Feind",A minor,1723,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
154,A029,Mein liebster Jesus ist verloren,B minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
155,A032,"Mein Gott, wie lang, ach lange",D minor,1716,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
156,A038,Ich steh mit einem Fuß im Grabe,F major,1729,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",sinfonia based on BWV 1056
157,A170,"Ich lasse dich nicht, du segnest mich denn!",B minor,1728,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",based on BWV 157a
157a,B20,"Ich lasse dich nicht, du segnest mich denn!",B minor,1727,Secular cantatas,"For 2 voices, mixed chorus, orchestra",revised as BWV 157
158,A061,Der Friede sei mit dir,D major,1732–35,Sacred cantatas,"For voice, mixed chorus, oboe, violin, continuo",based on BWV 158a
158a,A061,Der Friede sei mit dir,D major,1732–35,Sacred cantatas,"For voice, mixed chorus, oboe, violin, continuo",incomplete; revised as BWV 158
159,A050,"Sehet, wir geh'n hinauf gen Jerusalem",C minor,1729,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
160,V05,"Ich weiss, dass mein Erlöser lebt",C major,—,Sacred cantatas,"For voice, bassoon, violin, continuo",spurious; composed by Georg Philipp Telemann (TWV 1:877)
161,A135,"Komm, du süsse Todesstunde",C major,1715,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",
162,A090,"Ach! ich sehe, itzt, da ich zur Hochzeit gehe",A minor,1716,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",incomplete
163,A158,Nur jedem das Seine,B minor,1715,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
164,A128,"Ihr, die ihr euch von Christo nennet",G minor,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
165,A090,O heilges Geist- und Wasserbad,G major,1715,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
166,A071,Wo gehest du hin,B♭ major,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",incomplete
167,A176,"Ihr Menschen, rühmet Gottes Liebe",G major,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
168,A116,Tue Rechnung! Donnerwort,B minor,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
169,A143,Gott soll allein mein Herze haben,D major,1726,Sacred cantatas,"For voice, mixed chorus, orchestra",partly based on a lost oboe concerto (see BWV 1053R)
170,A106,"Vergnügte Ruh, beliebte Seelenlust",D major,1726,Sacred cantatas,"For voice, orchestra",
171,A024,"Gott, wie dein Name, so ist auch dein Ruhm",D major,1728?,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
172/1,A081a,"Erschallet, ihr Lieder",D major,1714,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",1st version
172/2,A081b,"Erschallet, ihr Lieder",C major,1731,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",2nd version
173,A085,Erhöhtes Fleisch und Blut,D major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",based on BWV 173a
173a,G09,Durchlauchtster Leopold,D major,1717–22?,Secular cantatas,"For 2 voices, orchestra",revised as BWV 173
174,A087,Ich liebe den Höchsten von ganzem Gemüte,G major,1729,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",Sinfonia (No. 1) based on the 1st movement of the Brandenburg Concerto No.3 BWV 1048.
175,A089,Er rufet seinen Schafen mit Namen,G major,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
176,A092,Es ist ein trotzig und verzagt Ding,C minor,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
177,A103,"Ich ruf zu dir, Herr Jesu Christ",G minor,1732,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
178,A112,Wo Gott der Herr nicht bei uns hält,A minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
